bank,rating,review,date,source
CBE,1,What's your problem with developer option ???,2025-01-02,Google Play
CBE,5,Good,2025-02-03,Google Play
CBE,2,Updating isn't working,2024-02-11,Google Play
CBE,5,fast & relayable!,2019-03-31,Google Play
CBE,5,Nice,2024-07-29,Google Play
CBE,5,It's good,2023-10-31,Google Play
CBE,5,The old version was bad and difficult to login. but this one is amazing and user friendly.,2020-08-07,Google Play
CBE,1,ቯጨጨየኘቨሀሀ!ሐኘረd,2024-04-23,Google Play
CBE,3,I use this app all the time on my business but sometimes it is difficult to use in rural areas. because there is not enough network. so what if you prepared it for the public to use offline?,2025-02-09,Google Play
CBE,1,worst experience,2025-08-04,Google Play
CBE,5,very good 👍 👏,2025-03-31,Google Play
CBE,5,Nice,2025-02-26,Google Play
CBE,5,👍,2024-08-24,Google Play
CBE,5,good app,2022-02-12,Google Play
CBE,2,"It doesn't work when I turn it on with data, it only works with wifi so it's really bothering me.",2023-10-18,Google Play
Dashen,4,በጣም አሪፍ!!! ከቀድሞው የተሻለ ቀለል ያለ app ነው። ተመችቶኛል❤,2022-07-18,Google Play
CBE,5,it is very good app,2025-03-30,Google Play
CBE,5,Xo,2023-05-02,Google Play
CBE,1,I don't have an idea why our country soft wares needs some beroucracy?? How many peoples knew that about developer options N why is the new app forceing to disable that?? in my side i didn't get the apps as of b4.,2025-01-28,Google Play
CBE,2,there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2025-03-24,Google Play
CBE,5,ምርጥ መተግበሪያ ነው ፣ ብዙ ነገር ነው ሚያቀለው። እንደ ቴሌ እና መብራት ኃይል ወርኃዊ የአገልግሎት ክፍያ ስንከፍል ሒሳብ ከሌለብን 0.0 ቢያሳይ ጥሩ ነበር።,2021-12-17,Google Play
CBE,5,"It is a great app so far specially the speed is good. But it is important to know who send you money, so you should also show the sender's name if the receiver is in the sender's beneficiary list, because it shows the nick name of the receiver not the sender's name. Thank you.",2023-05-23,Google Play
CBE,1,"If I could go lower, I would. Don't trust it when it says transaction failed.",2022-05-10,Google Play
CBE,4,This app doesn't run on rooted devices 😥,2024-02-13,Google Play
CBE,5,It is good i like it.,2020-07-31,Google Play
CBE,2,Very useful app,2025-01-01,Google Play
CBE,5,It is nis,2023-08-04,Google Play
BOA,3,The app is not good need a few work,2024-06-11,Google Play
CBE,5,Why app don't work,2024-07-19,Google Play
CBE,5,Its better app,2024-04-29,Google Play
CBE,5,Wow easy and fast platform,2024-03-29,Google Play
CBE,5,loved it,2021-01-12,Google Play
CBE,5,best app,2022-03-21,Google Play
CBE,5,its good,2014-02-22,Google Play
CBE,4,It is so nice app,2020-09-21,Google Play
CBE,5,It is very simple app to use&fast,2023-08-18,Google Play
CBE,5,Good,2024-03-30,Google Play
CBE,5,So Far so Good. Needs work on showing better transaction history.,2021-12-25,Google Play
BOA,1,The worst mobile banking app like the previous one. How long it would take for BOA to develop a good app?????? Years or decades?,2024-03-04,Google Play
CBE,5,gooof,2025-10-16,Google Play
Dashen,3,This appi is 👍Good,2023-06-09,Google Play
CBE,5,Good,2024-07-04,Google Play
CBE,5,Good App !!!!,2022-02-04,Google Play
CBE,1,Not working,2023-04-20,Google Play
CBE,5,Nice,2024-05-01,Google Play
BOA,1,The app is not showing my balance or any transaction it is like corrupted showing usd amounts,2024-04-13,Google Play
CBE,1,Very useful supportive app in our day to day a activities or business,2023-04-25,Google Play
CBE,5,Best App,2025-03-03,Google Play
CBE,4,Good,2020-09-14,Google Play
CBE,2,The screen shot doesn't work.,2024-06-30,Google Play
CBE,4,It's good,2021-03-03,Google Play
CBE,5,It's amazing really,2023-10-18,Google Play
CBE,5,I love it.,2014-08-07,Google Play
CBE,5,It's amazing application,2023-09-05,Google Play
CBE,2,Most of the times I receive text of my balance the next day.,2022-06-30,Google Play
BOA,1,The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,2024-07-11,Google Play
CBE,5,Its good,2024-04-30,Google Play
CBE,1,Not working,2024-01-09,Google Play
Dashen,5,Best app....,2024-06-06,Google Play
CBE,5,I am X employee after retirement I use the bank's digital service. What I experienced on employees assigned their knowledge to handle responsible tasks but thinking not knowing what will underestimate their post but they pretend to take risk where they will fail to handle and reveal inefficient operation. Anyhow the fact to learn modern technology effecting need to dare risks with strict follow system developed with good performance and personality.,2024-02-11,Google Play
CBE,5,I thrust commercial bank of Ethiopia my money established it,2016-08-29,Google Play
CBE,3,"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",2025-03-30,Google Play
CBE,3,Better from previous version but doesn't support to use more than 1 account with one phone no. And also once reinstalling the app. Need authentication and confirmation no from branch. I wish you can make it soon,2020-08-24,Google Play
CBE,5,"Its a perfect app, Easy to use and works almost everytime",2021-06-04,Google Play
CBE,1,It is disappointing that You can not set it up yourself unless you visit a branch.,2023-10-02,Google Play
CBE,5,Best mobile Bank,2023-11-07,Google Play
CBE,2,Good,2025-01-01,Google Play
CBE,5,👏 amazing ap,2023-04-03,Google Play
CBE,5,Good app,2021-01-03,Google Play
CBE,5,Perfect!,2024-01-21,Google Play
CBE,5,700000 a,2024-06-26,Google Play
Dashen,1,Tell 6836,2023-07-22,Google Play
CBE,5,It works for me very well. Thanks!,2023-12-03,Google Play
CBE,1,The update isn't working,2024-12-31,Google Play
CBE,1,"Am happy to use this app, because it's very nice to use .",2023-07-20,Google Play
Dashen,4,Good,2024-05-15,Google Play
BOA,1,Gamebela,2024-08-08,Google Play
Dashen,5,ባጠቃላይ ባንኩ እወደዋለሁኝ,2023-08-31,Google Play
CBE,2,ok,2025-04-19,Google Play
CBE,5,Wow,2024-03-25,Google Play
CBE,5,It is fine,2023-12-21,Google Play
CBE,1,It don't work,2025-02-28,Google Play
CBE,3,Easy to use and save time I like it,2022-06-17,Google Play
CBE,5,My country big bank,2021-07-16,Google Play
CBE,5,👌,2024-01-09,Google Play
BOA,4,Ok,2024-03-18,Google Play
CBE,5,More,2024-03-13,Google Play
CBE,5,That's good,2024-11-12,Google Play
CBE,5,በጣም ጥሩ,2025-08-01,Google Play
CBE,5,Nice app.,2020-06-26,Google Play
BOA,2,Its very slow and fail to load any transaction,2024-02-15,Google Play
CBE,4,This works fine !! Nice !!! But I was wondering can I see my statement from the app?,2024-11-21,Google Play
CBE,5,Ok,2024-12-20,Google Play
CBE,2,This app is good but i cant download on my LG & samsung s6 phone it says 'its not compatible for this devices' so pls fix this problem guys & make the app to compatible for all phones pls pls...thanks.,2020-08-27,Google Play
CBE,5,My best bank,2024-10-05,Google Play
CBE,5,Jaabir,2024-12-14,Google Play
CBE,5,Good so far. Much better than other bank apps.,2022-09-09,Google Play
CBE,5,Good application commercial bank of Ethiopia,2024-10-03,Google Play
CBE,5,good,2025-10-16,Google Play
CBE,1,"I don't know what to do with this app anymore..after I synconized it, it doesn't show the features or the tools that needed to use for, just it shows my balance.. needed to be fixed asap.",2021-05-08,Google Play
CBE,5,It Made Life Simple,2024-12-17,Google Play
BOA,1,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,2025-04-19,Google Play
CBE,5,Its good,2025-01-01,Google Play
BOA,1,i find it interesting specially in reciept downloading,2024-11-12,Google Play
CBE,2,I can't see my bank activity for different months when I open the app. Only most recent,2023-09-21,Google Play
CBE,2,Very nice,2015-02-17,Google Play
CBE,5,Revolutionized ethiopian banking industry to another level I was amazed how it made contact my family easily,2024-08-01,Google Play
CBE,5,This app is not working....,2020-09-22,Google Play
CBE,1,Very good and easy to use app,2022-06-03,Google Play
CBE,5,Thank you,2024-05-11,Google Play
BOA,5,❤,2024-04-13,Google Play
CBE,5,As,2024-09-13,Google Play
CBE,5,To say frankly this is amazing App Thanks CBE,2023-04-02,Google Play
CBE,5,ጥሩ,2023-09-06,Google Play
CBE,5,Nice application,2024-02-14,Google Play
CBE,1,It stacked and not opened,2024-03-20,Google Play
CBE,5,Nice to see more transactions BUT if u have lots of transaction it lags and becomes slow. May be an option to limit the transaction history to a reasonable amount or by date so it doesnt load all data.,2021-12-29,Google Play
CBE,5,Good,2025-01-01,Google Play
CBE,1,"The password should be stronger, including letters, numbers, and special characters.",2024-03-24,Google Play
CBE,1,It is not working properly ....!!!!,2024-02-07,Google Play
CBE,5,best and secured application,2025-08-23,Google Play
CBE,5,Very help fuel,2020-12-06,Google Play
Dashen,4,Well improved!,2023-12-29,Google Play
BOA,1,"Such a junk application, its not working at all. Waste of time",2024-04-30,Google Play
CBE,5,V.good,2024-02-08,Google Play
Dashen,5,Awesome,2024-02-06,Google Play
CBE,5,best app,2025-05-21,Google Play
CBE,5,what an amazing application in Ethiopian Banking industry which is very interested one!,2025-03-31,Google Play
CBE,5,Tax & treasury accountant,2023-10-06,Google Play
CBE,1,Good,2022-08-26,Google Play
CBE,5,Caalaamahammad,2024-05-10,Google Play
CBE,4,"The old one was very bad and clumsy. every time I tried to login there was a problem with synchronization, because of that I was close to clear my account from CBE and open a new one in privet bank, as they cares about their customers. In other hand the new one is perfect and shows a little bit reformation in the Headquarter and this makes us to trust this bank again.",2020-08-01,Google Play
CBE,5,Nice App,2024-02-14,Google Play
CBE,5,Its the bast application in my country,2024-07-27,Google Play
CBE,5,CBE,2024-11-07,Google Play
CBE,5,wow,2025-07-18,Google Play
CBE,5,Good,2025-03-13,Google Play
CBE,5,I love it tank's,2023-04-20,Google Play
CBE,1,I what add bot i dot now cod,2014-07-31,Google Play
CBE,5,wonderful app,2023-11-10,Google Play
CBE,5,compaatble cbe,2024-08-07,Google Play
BOA,5,absiniya banki,2025-08-29,Google Play
CBE,5,Its Good!!,2023-09-09,Google Play
CBE,5,It is my best apps ever. Thank you CBE!,2024-10-03,Google Play
BOA,2,It doesn't work at all.,2025-01-02,Google Play
CBE,5,The update is awesome,2020-08-14,Google Play
CBE,1,very slow,2025-10-14,Google Play
CBE,5,Nice app,2024-05-04,Google Play
CBE,5,Good,2022-10-15,Google Play
CBE,4,"The app won't list transactions made via USSD(889), why is that?",2020-11-08,Google Play
CBE,5,app bayyee si'atafi baredadha,2024-06-13,Google Play
CBE,5,It works perfectly for me and has many options......5 star......,2020-06-26,Google Play
CBE,1,It's good app for me,2024-07-16,Google Play
CBE,5,Need,2014-04-30,Google Play
CBE,5,Best,2025-02-01,Google Play
CBE,4,It is good,2025-01-07,Google Play
CBE,3,Its good but it dosnt show updated statment,2024-04-05,Google Play
CBE,5,Good,2023-02-05,Google Play
CBE,5,በጣም ሀሪፍ ደስስስስስ የሚል,2022-01-05,Google Play
BOA,1,it's not work correctly... you must have update it,2025-04-06,Google Play
CBE,5,It's good,2022-09-05,Google Play
CBE,5,I love the update . Nice work,2020-10-13,Google Play
CBE,5,Nice,2020-06-27,Google Play
CBE,5,very good,2025-08-11,Google Play
CBE,4,Cbe provides a greatest mobile banking service in Ethiopia.,2024-05-17,Google Play
CBE,5,Good in all,2023-08-18,Google Play
BOA,1,I can't believe that Abyssinia develop this kind of trash app it have a lot of issues 👎👎👎,2024-07-13,Google Play
BOA,3,Fast one,2024-09-04,Google Play
CBE,1,8 expriance,2025-01-08,Google Play
CBE,5,good,2025-06-27,Google Play
CBE,5,good in bankin at any time & any where.,2025-09-13,Google Play
CBE,5,Nice,2025-01-27,Google Play
CBE,5,Like,2020-11-07,Google Play
CBE,5,ok,2025-09-21,Google Play
CBE,5,Exellent app!!,2021-04-01,Google Play
CBE,3,Nice startup.,2014-05-08,Google Play
CBE,5,Waw fantastic Aplication,2025-02-16,Google Play
CBE,5,If we can get a chance to win,2024-03-02,Google Play
CBE,2,it doesn't show bank statement and no options to see transactions for the past months.,2025-10-12,Google Play
CBE,5,best,2025-07-02,Google Play
CBE,5,Easy to use,2024-03-09,Google Play
CBE,5,Wow nw,2024-06-11,Google Play
CBE,5,Its good But if its give as our profile its more interesting,2024-04-20,Google Play
CBE,5,Good,2023-02-02,Google Play
BOA,1,The best bank with the worst application and ussd service.,2024-04-30,Google Play
CBE,1,"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",2025-03-21,Google Play
CBE,5,Very nice. Fast and easy. I love it.,2020-08-14,Google Play
CBE,5,ok,2025-05-22,Google Play
CBE,1,you can't get your own transaction history,2025-09-29,Google Play
BOA,1,"For anyone who wants to download it, just don't!!!",2025-03-19,Google Play
CBE,5,Good job,2022-03-10,Google Play
CBE,5,Wo,2023-08-29,Google Play
CBE,5,good👍👍👍😊😊😊,2025-10-10,Google Play
BOA,1,Corrupted and poor app,2024-07-24,Google Play
CBE,1,Very interested,2022-02-06,Google Play
CBE,5,Excellent app... never had any problem in using it. Very excellent job you are doing CBE. Get going!!!!,2022-12-07,Google Play
CBE,5,Good,2024-09-07,Google Play
BOA,5,It is good &fast to open!!,2024-02-14,Google Play
Dashen,5,best app,2024-08-29,Google Play
CBE,5,Good,2022-02-13,Google Play
CBE,3,"Application UI and new features are better than the previous version. I found a minor bugs though. I couldn't transfer to an account from the beneficiary list, it says None Available; There is still so much to do with the localization; Instead of ሰኔ it says ጁን and more like this; date conversion is missing also. If this minor things are fixed it will be much better.",2020-11-05,Google Play
BOA,1,"This app has been found useless while I compared with the first version of IB12111...that was very good, you guys what is the matter with you. You are far from the technology and the competetor's digital product through convenience, reliable, easeness _-dashen, cbe, zemen... they are doing well! share their experience and be able to satisfy your esteemed customers including me. unless you will be down soon!",2024-04-29,Google Play
CBE,5,Ilike it,2024-09-07,Google Play
CBE,2,Not perfectly,2023-04-01,Google Play
CBE,5,Very good app. But include money transfer from oneself account to others telebirr,2022-08-31,Google Play
CBE,5,Nice,2021-11-11,Google Play
CBE,2,Pleas update this app is not working,2023-06-30,Google Play
CBE,1,I cant pass the authorization key how do i find it? Please reply if u know.,2020-09-09,Google Play
CBE,2,It was working perfectly until it stopped displaying my balance.,2021-01-02,Google Play
CBE,5,"I really love this app,it is amazing. It is more flexible than any other banks app. The only and main problem that I encountered with this app is,if it is uninstalled from this devices, I have to go to the bank and mostly the specific barank the account is opened to reconfigur again. This is very unpractical in most cases,since people are traveling and very busy in their day to day activities. Kindly consider to change this option.",2023-09-11,Google Play
CBE,1,Latest update is having bugs. The is not opening and crashing after updating.plz fix soon.,2019-03-05,Google Play
CBE,1,"As a financial app, the app should be more sensetive for any action. When i do some transaction, it shows error message. But the transaction already done at the back. If you see error messages, it may not be error. Automatically stop doing any action see your balance and wait for your sms.",2022-11-01,Google Play
CBE,4,I like this app,2021-05-23,Google Play
CBE,5,Excellent,2023-10-15,Google Play
Dashen,4,OTP not send on time while processing any transactions by this app.,2023-06-07,Google Play
CBE,5,The best,2023-09-22,Google Play
CBE,4,It a best,2023-11-12,Google Play
CBE,1,You deserve less than 1 star,2024-03-09,Google Play
CBE,5,Good,2023-07-08,Google Play
CBE,1,good,2025-01-04,Google Play
CBE,5,Always rely on,2023-03-08,Google Play
CBE,3,Where can i get verfication code,2023-03-20,Google Play
CBE,5,Its so nice,2022-02-11,Google Play
CBE,5,Good,2024-06-18,Google Play
CBE,3,"With your new CBE mobile app version, it is gonna be alright and much interactice I hope. However, using it in weaker internet connection is often tiring... 4 issues... 1. One thing, please allow the use to subscribe or unsubscribe from the service without the subscriber requiring him to come to your office in person.... 2. You may also introduce two-factor authorization, like if someone even has got your pin, 3. Consider includng water billing and 4.update your apps often work on improvements",2020-06-26,Google Play
BOA,5,i like this app,2024-02-29,Google Play
BOA,5,It is really great to see you have solved some of the problems with the previous version. Thank you for taking time to improve.,2024-01-24,Google Play
CBE,2,Transcation information available only for a very short period of time. Unstable when used for two accounts. It sometimes doesn't show me my second account.,2021-10-24,Google Play
CBE,5,I like it this app,2024-08-13,Google Play
CBE,1,"The app doesn't have 1. mini statement service In my opinion, I don't have to go to cbe branch to get mini statements and transactions I have done and pay for it.why? 2. Recent transaction The app doesn't store numerous or enough recent transactions, even it doesn't store what stored properly sometimes.",2024-09-02,Google Play
CBE,5,Shifee diquuallm,2024-04-11,Google Play
CBE,5,I like this app because it makes everything possible,2023-10-24,Google Play
CBE,3,"It says that Once you download the application, you can get Authorization code and PIN from your CBE Branch at any time.  Have downloaded the application and Authorization code should be available at the time of downloading instantly.  Instructions should be clear.  Once we can log in to the system, we can comment more but for now we can only say what I have experienced",2014-03-24,Google Play
CBE,5,Nice,2024-12-30,Google Play
CBE,1,"Sometimes, it is very difficult to open",2024-11-15,Google Play
CBE,3,good,2021-12-21,Google Play
CBE,1,For the last two weeks the app is not working. Please address the issue as quickly as possible. Urgent action is needed!!,2024-01-25,Google Play
CBE,4,Better UI and functionalities . which is best for me.,2020-08-04,Google Play
CBE,5,Wowe,2024-09-07,Google Play
CBE,1,It was ok but resently it has become unuseable to say the list. It does not sincronise and I have not been able to make use of it.,2024-06-10,Google Play
CBE,5,Thanks for your,2025-01-02,Google Play
CBE,5,good,2025-06-27,Google Play
BOA,1,"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",2025-05-06,Google Play
CBE,5,Nb one,2024-07-19,Google Play
CBE,4,This application is very nice mobile banking agent and various transactions can be used download and use,2024-09-12,Google Play
CBE,5,good,2025-10-12,Google Play
CBE,4,Good too,2022-10-17,Google Play
CBE,3,After some step it is not functioning!,2014-08-26,Google Play
CBE,5,Nice,2024-09-02,Google Play
CBE,5,Well done,2024-02-01,Google Play
CBE,2,The application is not user freindly at all,2020-08-25,Google Play
CBE,5,Great App.,2022-02-19,Google Play
CBE,5,Not good enough for transfer funds to hellocash or rays microfinance.,2022-02-14,Google Play
CBE,1,After the latest update the app and the USSD code stops functioning please release a new update to fix the issue,2023-09-19,Google Play
CBE,5,Faster banking with cbe,2022-07-03,Google Play
CBE,5,Commercial bankof ETheiopia,2024-07-29,Google Play
CBE,5,This app is more easyer and faster than other bank app. Am always satisfied wiht the app.,2023-09-16,Google Play
CBE,5,Best app,2024-04-05,Google Play
CBE,5,Its marvelous app,2023-04-27,Google Play
CBE,5,this app is very good app,2024-09-09,Google Play
CBE,1,not working after i update,2019-03-12,Google Play
CBE,5,👍,2025-03-04,Google Play
BOA,1,You should include manual OTP input!,2024-02-13,Google Play
CBE,5,Very good,2022-04-20,Google Play
CBE,5,CBE mobile banking makes life easy.realy it helps in creating cashless society..please make cbe birr apps active as mobile banking too...your call center is too busy...and not found at all..please take corection action on it,2020-09-09,Google Play
BOA,5,Waw bezu amarache ke fetnet gar yemegerm lewt new,2024-02-04,Google Play
CBE,5,I like it,2023-08-30,Google Play
CBE,5,Good app,2024-03-14,Google Play
CBE,5,gerat Appp,2023-08-22,Google Play
CBE,1,update doesn't work,2019-03-08,Google Play
CBE,3,useful update but at the moment its not easy to download or update and that means we can't use the the app at the moment,2021-06-17,Google Play
BOA,1,Ayseram mnm,2024-05-01,Google Play
CBE,5,First,2025-01-18,Google Play
CBE,5,Nice app new pls dear make it perfect 🥰,2023-10-29,Google Play
CBE,5,i apritate your CBE application,2022-12-15,Google Play
BOA,3,The app is not properly working.,2024-04-28,Google Play
CBE,5,I'm CBE costumer for more than ten years And mobile banking almost three years I have to say CBE is the leading app so far,2024-02-03,Google Play
CBE,5,Great app.,2023-09-20,Google Play
CBE,1,Got worse after the update. Now it doesn't do anything after logging in.,2024-03-10,Google Play
CBE,5,Zigale Kassa Bizuneh,2020-08-09,Google Play
CBE,5,Good,2025-02-11,Google Play
CBE,5,I love this app. Some improvement I wish to be made is that a menu that helps to Bach delete beneficiaries (delete two or more beneficiaries at once instead of individually). Thank you!,2021-01-02,Google Play
CBE,5,I am Delighted to being the member of this leading Bank!,2024-07-18,Google Play
CBE,5,Good app!,2022-12-22,Google Play
CBE,4,Daily internal account to account transfer must be amended since its internal transactions,2024-05-24,Google Play
CBE,5,Best app,2023-09-19,Google Play
CBE,1,Network error,2023-10-15,Google Play
CBE,5,Nice app,2021-11-09,Google Play
CBE,5,The best of best,2022-02-12,Google Play
CBE,5,perfect app,2025-03-19,Google Play
CBE,5,Good,2023-10-28,Google Play
CBE,5,"Easy to use ,clear and pricise, fast confortable for all customers. Kip it up cbe",2024-04-01,Google Play
CBE,5,one of the best,2025-08-22,Google Play
CBE,5,በጣም ምርጥ ነው,2023-12-01,Google Play
CBE,5,Such a fantastic app,2023-05-27,Google Play
CBE,2,"Network error becha nw milw,wede branch mehede alben endatlu becha??",2024-02-11,Google Play
CBE,1,"Please stop taking 5 birr from each transaction we made it is very unfair and Ethswitch has to be legally stopped this action ... Very shameful,",2023-12-27,Google Play
CBE,5,it's very nice and Thanks,2021-06-01,Google Play
CBE,5,Best app ever,2023-12-13,Google Play
CBE,5,V good,2020-09-28,Google Play
CBE,5,So 👍😎cooling,2024-02-12,Google Play
CBE,5,Superb,2022-04-14,Google Play
CBE,4,Best application,2024-11-01,Google Play
CBE,1,don't work,2025-07-05,Google Play
CBE,5,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,2025-05-09,Google Play
CBE,5,"I like the other one except for one reason, but it would be cool if the account message is saved quickly",2023-11-19,Google Play
BOA,5,In Ethiopia pest Bank,2024-04-23,Google Play
CBE,5,የሞባይል ባንኪንጋችሁ ግብይትን ቀለል ያደርጋል,2025-02-28,Google Play
CBE,4,ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,2025-03-31,Google Play
CBE,5,it is nice,2025-09-05,Google Play
CBE,3,You guys charge way to much when we transfer money from CBE to Telebirr via this app,2025-08-21,Google Play
BOA,5,love it,2024-12-30,Google Play
CBE,5,wow nice application,2020-08-07,Google Play
CBE,1,Why do i have to close the developer option to use it. After the update it's not even working unless I close the developer option,2025-01-07,Google Play
CBE,5,great app,2025-04-15,Google Play
CBE,2,Most of the time either the app or *889# don't work,2025-08-12,Google Play
CBE,4,It's best app but Please add(included) water bill payment ?,2025-06-16,Google Play
CBE,5,Tank,2025-02-03,Google Play
BOA,3,Betanya Gebre,2024-08-23,Google Play
CBE,5,I don't Like this app and there service fee is highl,2025-08-23,Google Play
CBE,4,It is good but modify it in away that shows 15 days statement,2023-12-02,Google Play
CBE,3,don't transfer to cebbirr,2020-08-09,Google Play
CBE,1,about inactive solutions want be!!!,2024-07-13,Google Play
CBE,5,It's nice app...!,2021-07-08,Google Play
CBE,2,why removing screenshot feature why?,2025-10-08,Google Play
BOA,3,"Was working ok.but it started not displaying banks list to choose from, and it needs updating every couple of days, annoying",2024-05-03,Google Play
CBE,5,I need support you,2025-04-27,Google Play
CBE,4,This app is best and safe secure,2023-04-20,Google Play
CBE,1,the worst app i have ever seen,2024-12-28,Google Play
CBE,5,10 Q,2024-07-14,Google Play
CBE,5,the best application for ours,2025-08-03,Google Play
CBE,5,very good👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾,2024-05-21,Google Play
CBE,5,Please make it active it is delaying in low connection thanks.,2025-01-18,Google Play
